stabb,year,milexp,totalpop,milpers,urbanpop
BAR,1984,11000.0,252.0,1.0,0.0
BAR,1985,10000.0,253.0,1.0,0.0
BAR,1986,9000.0,253.0,1.0,0.0
BAR,1987,8000.0,254.0,1.0,0.0
BAR,1988,11000.0,254.0,0.0,0.0
BAR,1989,10000.0,255.0,0.0,0.0
BAR,1990,21300.0,257.0,0.0,0.0
BAR,1991,0.0,258.0,0.0,0.0
BAR,1992,0.0,263.0,0.0,0.0
BAR,1993,12000.0,264.0,0.0,0.0
BAR,1994,13000.0,264.0,0.0,0.0
BAR,1995,14000.0,264.0,0.0,0.0
BAR,1996,14000.0,264.0,0.0,0.0
BAR,1997,12000.0,262.0,0.0,0.0
BAR,1998,13000.0,268.0,0.0,0.0
BAR,1999,12000.0,269.0,0.0,0.0
BAR,2000,13000.0,270.0,1.0,0.0
BAR,2001,13000.0,270.0,1.0,0.0
BAR,2002,13000.0,271.0,1.0,0.0
BAR,2003,24000.0,272.0,1.0,0.0
BAR,2004,24000.0,272.0,1.0,0.0
BAR,2005,26000.0,273.0,1.0,0.0
BAR,2006,27000.0,273.0,1.0,0.0
BAR,2007,28000.0,274.0,1.0,0.0
BEL,1945,561299.0,8344.0,80.0,913.0
BEL,1946,865450.0,8389.0,79.0,901.0
BEL,1947,572702.0,8512.0,75.0,897.0
BEL,1948,440764.0,8557.0,71.0,894.0
BEL,1949,174317.0,8614.0,70.0,890.0
BEL,1950,166920.0,8639.0,74.0,886.0
BEL,1951,267099.0,8678.0,77.0,882.0
BEL,1952,395346.0,8730.0,81.0,878.0
BEL,1953,392921.0,8778.0,86.0,874.0
BEL,1954,399539.0,8819.0,91.0,870.0
BEL,1955,341340.0,8868.0,94.0,867.0
BEL,1956,341573.0,8924.0,98.0,866.0
BEL,1957,365511.0,8989.0,101.0,866.0
BEL,1958,366093.0,9053.0,106.0,867.0
BEL,1959,374919.0,9104.0,108.0,865.0
BEL,1960,383680.0,9153.0,110.0,869.0
BEL,1961,393581.0,9217.0,110.0,874.0
BEL,1962,424086.0,9221.0,110.0,879.0
BEL,1963,446834.0,9290.0,115.0,884.0
BEL,1964,498756.0,9378.0,115.0,889.0
BEL,1965,504453.0,9464.0,115.0,894.0
BEL,1966,530076.0,9528.0,115.0,898.0
BEL,1967,568072.0,9581.0,115.0,903.0
BEL,1968,606689.0,9619.0,115.0,926.0
BEL,1969,628002.0,9646.0,115.0,916.0
BEL,1970,701953.0,9656.0,110.0,919.0
BEL,1971,831880.0,9673.0,110.0,956.0
BEL,1972,1026536.0,9709.0,105.0,984.0
BEL,1973,1296483.0,9738.0,107.0,1012.0
BEL,1974,1482312.0,9768.0,105.0,1040.0
BEL,1975,1927703.0,9795.0,103.0,1068.0
BEL,1976,2109675.0,9811.0,103.0,1096.0
BEL,1977,2496443.0,9822.0,107.0,1124.0
BEL,1978,3166709.0,9830.0,109.0,1152.0
BEL,1979,3631502.0,9837.0,107.0,1180.0
BEL,1980,3958349.0,9847.0,108.0,1239.0
BEL,1981,3385496.0,9852.0,110.0,1289.0
BEL,1982,2891634.0,9856.0,109.0,1339.0
BEL,1983,2676841.0,9856.0,109.0,1389.0
BEL,1984,2452687.0,9855.0,107.0,1439.0
BEL,1985,1796000.0,9858.0,107.0,1491.0
BEL,1986,2870000.0,9862.0,107.0,1486.0
BEL,1987,3510000.0,9870.0,109.0,1483.0
BEL,1988,2800000.0,9902.0,110.0,1480.0
BEL,1989,2580000.0,9938.0,110.0,1477.0
BEL,1990,3070000.0,9967.0,106.0,1474.0
BEL,1991,3250000.0,9979.0,101.0,1456.0
BEL,1992,3160000.0,10055.0,79.0,1460.0
BEL,1993,4000000.0,10084.0,70.0,1466.0
BEL,1994,4014000.0,10116.0,53.0,1473.0
BEL,1995,4449000.0,10137.0,47.0,1477.0
BEL,1996,4333000.0,10159.0,45.0,1482.0
BEL,1997,3769000.0,10188.0,46.0,1486.0
BEL,1998,3737000.0,10141.0,43.0,1491.0
BEL,1999,3442000.0,10152.0,42.0,1495.0
BEL,2000,3212000.0,10161.0,39.0,1497.0
BEL,2001,3017000.0,10287.0,39.0,1499.0
BEL,2002,3155000.0,10333.0,39.0,1490.0
BEL,2003,3902000.0,10372.0,41.0,1480.0
BEL,2004,4311000.0,10417.0,38.0,1471.0
BEL,2005,4250000.0,10473.0,36.0,1461.0
BEL,2006,4294000.0,10542.0,37.0,1452.0
BEL,2007,5000000.0,10623.0,40.0,1460.0
BEN,1960,0.0,2237.0,0.0,0.0
